auditor,auditReportPageRange,link,page_text
,30 - 37,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100628.pdf,˛ˆ˜˚˛˝˙˜˚ˆ˝³˛−˛˛−˛˛˛˛˛Œ˛˛‚˛™˛˛˛˛˛˛˛‚˛™˛˛˛³˛˛Œ‚˛˛˛−˛˛˛‚ª˛Œ˛˛˛−˛˛Œ™˛Œ˛˛ª˛™™˛˛˛ˇ˛†™™˛˛™˛˛™˛˛‚˛‚˛˛˛˛˛˛Œ˛ª˛˛−˛˛ˇ˛†™™˛˛˛™˛˛˛−˛™˛−˛˛œ™˛˛˛˛™™˛™˛˛˛˛˛™˛˛™˛˛˛˛™˛˛Œ˛™˛˛˛˛˛˛ª˛˛˛˛˛˛™˛˛˛˛—™˛™˛˛™˛˛˛™˛˛˛˛™™˛˛˛˛˛−˛œ˛Œ˛˛˛ﬁ³˛³˛˛–›
,70 - 76,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001274.pdf,76SHINEWING (HK) CPA LimitedWong Chuen Fai
,60 - 67,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000811.pdf,"66The engagement partner on the audit resulting in this independent auditor™s report is Sylvene Fong.KPMG8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong30 June 2020108"
,8 - 12,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700775.pdf,"11INDEPENDENT AUDITOR™S REPORT TO THE UNITHOLDERS OFVALUE GOLD ETF (Continued)From the matters communicated with the Trustee and the Manager, we determine those matters that the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing Report on matters under the relevant provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Codeaccordance with the relevant disclosure provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Code.The engagement partner on the audit resulting in this independent auditor™s report is Ms. Christine Lin.Ernst & YoungHong Kong17 July 2020"
,75 - 82,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700588.pdf,"P07174810AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements for the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor™s report is Mr. Leung Man Kin with Practising Certificate number P07174.Elite Partners CPA Limited10th Floor,8 Observatory Road,Tsim Sha Tsui,Kowloon, Hong Kong29 June 2020"
,4 - 87,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700559.pdf,"INDEPENDENT AUDITOR™S REPORT84REPORT ON THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)Responsibilities of the ﬁRéviseur d™entreprises agrééﬂ for the audit of the consolidated financial statements (continued)on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty evidence obtained up to the date of our audit report. However, future events or conditions may cause the Group to disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the Group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.regarding independence, and communicate to them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our audit report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse REPORT ON OTHER LEGAL AND REGULATORY REQUIREMENTSThe consolidated Management Discussion & Analysis and consolidated Directors™ report are consistent with the consolidated PricewaterhouseCoopers, Société coopérative Luxembourg, 3 July 2020Represented byMagalie Cormier"
,87 - 94,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700551.pdf,95 audit of the consolidated financial statements of the current PricewaterhouseCoopersCertified Public Accountants
,50 - 54,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700471.pdf,53INDEPENDENT AUDITOR™S REPORT AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS Ernst & Young
,59 - 183,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0724/2020072400775.pdf,"ANNUAL REPORT 2019/20183Notice of the 30th Annual General MeetingNOTICE IS HEREBY GIVEN that the Thirtieth Annual General Meeting (“AGM”) of Media Chinese International Limited will be held at (i) Sin Chew Media Corporation Berhad, Cultural Hall, No. 78, Jalan Universiti, Seksyen 13, 46200 Petaling Jaya, Selangor Darul Ehsan, Malaysia (the “Broadcast Venue”); and (ii) 15th Floor, Block A, Ming Pao Industrial Centre, 18 Ka Yip Street, Chai Wan, Hong Kong on Wednesday, 26 August 2020 at 10:00 a.m. for the following purposes:AGENDAAS ORDINARY BUSINESS1.To receive the Audited Financial Statements for the financial year ended 31 March 2020 together with the Directors’ and Independent Auditor’s Reports thereon.Ordinary Resolution 12.To approve the payment of Directors’ fees and benefits for the financial year ended 31 March 2020 in the amount of US$226,000.Ordinary Resolution 23.To approve the payment of Directors’ fees and benefits from this 30th AGM until the next AGM in the amount of US$216,000.Ordinary Resolution 34.To re-elect the following Directors who retire pursuant to the Company’s Bye-Laws:(i) Dato’ Sri Dr TIONG Ik KingOrdinary Resolution 4(ii) Ms TIONG ChoonOrdinary Resolution 5(iii) Mr TIONG Kiew ChiongOrdinary Resolution 6(iv) Datuk CHONG Kee YuonOrdinary Resolution 75.To re-appoint Messrs PricewaterhouseCoopers as auditor of the Company for the ensuing year and to authorise the Directors to fix its remuneration.Ordinary Resolution 8AS SPECIAL BUSINESSTo consider and, if thought fit, pass with or without amendments the following resolutions:6. ORDINARY RESOLUTIONRETENTION OF INDEPENDENT NON-EXECUTIVE DIRECTOR“THAT approval be and is hereby given to Mr YU Hon To, David who has served as an Independent Non-executive Director (“INED”) for a cumulative term of more than twelve (12) years, to continue to act as INED of the Company until the conclusion of the next AGM in accordance with the Malaysian Code on Corporate Governance 2017.”Ordinary Resolution 9"
,70 - 80,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072301101.pdf,80PricewaterhouseCoopers
"We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the BDO Limited",34 - 38,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0723/2020072300731.pdf,"38INDEPENDENT AUDITOR™S REPORTAUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)As part of an audit in accordance with HKSAs, we exercise professional judgment and maintain professional skepticism throughout the audit. We also:opinion. The risk of not detecting a material misstatement resulting from fraud is higher than for one resulting from error, as fraud may involve collusion, forgery, intentional omissions, misrepresentations, or the override of internal control.continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our cause the Group to cease to continue as a going concern.the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the BDO LimitedCertified Public AccountantsLee Ka Leung, DanielPractising Certificate no. P01220Hong Kong29 June 2020",False
,24 - 34,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0720/2020072000717.pdf,34INDEPENDENT AUDITOR™S REPORTAUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)Deloitte Touche TohmatsuCertified Public AccountantsHong Kong
,8 - 12,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0714/2020071400570.pdf,"11INDEPENDENT AUDITOR™S REPORT TO THE UNITHOLDERS OF VALUE PARTNERS ETFs TRUST - VALUE CHINA A-SHARE ETF (Continued)From the matters communicated with the Trustee and the Manager, we determine those matters that the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing Report on matters under the relevant provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Codeaccordance with the relevant disclosure provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Code.The engagement partner on the audit resulting in this independent auditor™s report is Ms. Christine Lin.Ernst & Young22/F, CITIC Tower1 Tim Mei AvenueCentralHong Kong2 July 2020"
,8 - 12,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0714/2020071400550.pdf,"11INDEPENDENT AUDITOR™S REPORT TO THE UNITHOLDERS OFVALUE CHINA ETF (Continued)From the matters communicated with the Trustee and the Manager, we determine those matters that the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing Report on matters under the relevant provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Codeaccordance with the relevant disclosure provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Code.The engagement partner on the audit resulting in this independent auditor™s report is Ms. Christine Lin.Ernst & Young22/F, CITIC Tower1 Tim Mei AvenueCentralHong Kong2 July 2020"
,44 - 48,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0703/2020070301488.pdf,"We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse The engagement partner on the audit resulting in this independent auditor™s report is Cheng Pui Ngar. KPMG 8th Floor, Prince™s Building 10 Chater Road Central, Hong KongHong Kong, 8th June, 2020˙˘˙˛˝˝˚ˇˆˇ˙˘˚ˇ˝"
,45 - 51,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0702/2020070203407.pdf,51AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)RSM Hong Kong  
