,result,url
1,[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0831/2020083102419.pdf
4,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0831/2020083100541.pdf
10,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0828/2020082800890.pdf
11,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0827/2020082700690.pdf
13,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0827/2020082700366.pdf
15,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0826/2020082600409.pdf
18,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082401320.pdf
20,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082400745.pdf
21,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0823/2020082300059.pdf
23,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0820/2020082000439.pdf
26,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0814/2020081400864.pdf
27,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300777.pdf
30,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0812/2020081201408.pdf
31,[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0812/2020081200023.pdf
32,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700489.pdf
33,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700264.pdf
34,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0806/2020080601440.pdf
35,[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0806/2020080601394.pdf
36,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0805/2020080500801.pdf
37,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0803/2020080303826.pdf
41,[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101452.pdf
42,[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101356.pdf
44,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100705.pdf
45,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100689.pdf
46,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100634.pdf
53,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100291.pdf
54,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100265.pdf
55,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100263.pdf
57,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100227.pdf
58,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100211.pdf
59,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100201.pdf
60,[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100017.pdf
