,report_page_range,f.audit_fee_page,f.matched_pattern,url
7,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0830/2020083000035.pdf
8,"[(35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0828/2020082802897.pdf
10,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0828/2020082800890.pdf
18,"[(16, 17, 18, 19, 20, 21, 22)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082401320.pdf
20,"[(31, 32, 33, 34, 35, 36, 37, 38, 39)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082400745.pdf
21,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0823/2020082300059.pdf
23,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0820/2020082000439.pdf
25,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0818/2020081800152.pdf
26,"[(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0814/2020081400864.pdf
27,"[(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300777.pdf
30,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0812/2020081201408.pdf
32,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700489.pdf
33,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700264.pdf
34,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0806/2020080601440.pdf
36,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0805/2020080500801.pdf
37,"[(34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0803/2020080303826.pdf
41,"[(11, 12, 13, 14, 15, 16, 17, 18, 19)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101452.pdf
42,"[(14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101356.pdf
44,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100705.pdf
45,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100689.pdf
46,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100634.pdf
52,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100319.pdf
53,"[(39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100291.pdf
54,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100265.pdf
55,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100263.pdf
57,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100227.pdf
58,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100211.pdf
59,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100201.pdf
60,"[(9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100017.pdf
71,"[(26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073001097.pdf
80,"[(22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0730/2020073000877.pdf
104,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072901162.pdf
108,"[(23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900878.pdf
111,"[(32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900762.pdf
119,"[(36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900535.pdf
123,"[(17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900499.pdf
124,"[(68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900497.pdf
133,"[(15, 16, 17, 18, 19, 20, 21, 22, 23)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0729/2020072900342.pdf
142,"[(23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800513.pdf
143,"[(39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800475.pdf
148,"[(21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0728/2020072800342.pdf
154,"[(23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700962.pdf
158,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700775.pdf
161,"[(37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700682.pdf
