auditor,auditReportPageRange,link,page_text,normal
SHINEWING (HK) CPA Limited,53 - 58,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0803/2020080303826.pdf,"58Independent Auditor™s Report We communicate with audit committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide audit committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with audit committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Lau Kai Wong.SHINEWING (HK) CPA LimitedCertified Public AccountantsLau Kai WongPractising Certificate Number: P06623Hong Kong26 June 2020P066232020626",True
BDO Limited,89 - 91,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0802/2020080200033.pdf,"INDEPENDENTAUDITOR™S REPORT 91DIRECTORS™ RESPONSIBILITIES FOR THE CONSOLIDATED FINANCIAL STATEMENTSThe directors are responsible for the preparation of the consolidated financial statements that give a true and fair view in accordance with Hong Kong Financial Reporting Standards issued by the Hong Kong Institute of Certified Public Accountants (ﬁHKICPAﬂ) and the Hong Kong Companies Ordinance, and for such internal control as the directors determine is necessary to enable the preparation of consolidated financial statements that are free from material misstatement, whether due to fraud or error.In preparing the consolidated financial statements, the directors are responsible for assessing the Group™s ability to continue as a going concern, disclosing, as applicable, matters related to going concern and using the going concern basis of accounting unless the directors either intend to liquidate the Group or to cease operations, or have no realistic alternative but to do so.The directors are also responsible for overseeing the Group™s financial reporting process. The Audit Committee assists the directors in discharging their responsibility in this regard.AUDITOR'S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTSOur objectives are to obtain reasonable assurance about whether the consolidated financial statements as a whole are free from material misstatement, whether due to fraud or error, and to issue an auditor™s report that includes our opinion. This report is made solely to you, as a body, in accordance with the terms of our engagement, and for no other purpose. We do not assume responsibility towards or accept liability to any other person for the contents of this report.However, because of the matter described in the ﬁBasis for Disclaimer of Opinionﬂ section of our report, we were not able to obtain sufficient appropriate audit evidence to provide a basis for an audit opinion on these consolidated financial statements.We are independent of the Group in accordance with the HKICPA™s ﬁCode of Ethics for Professional Accountantsﬂ (the ﬁCodeﬂ), and we have fulfilled our other ethical responsibilities in accordance with the Code.BDO LimitedCertified Public AccountantsCheung Wing YinPractising Certificate Number P06946Hong Kong, 31 July 2020",True
SHINEWING (HK) CPA Limited,85 - 88,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073101878.pdf,"88Independent Auditor™s Report    P06623AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)We are independent of the Group in accordance with the HKICPA™s Code of Ethics for Professional Accountants (the ﬁCodeﬂ), and we have fulfilled our other ethical responsibilities in accordance with the Code.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Lau Kai Wong.SHINEWING (HK) CPA LimitedCertified Public AccountantsLau Kai WongPractising Certificate Number: P06623Hong Kong31 July 2020",True
Elite Partners CPA Limited,42 - 47,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101736.pdf,"46AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current year and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Elite Partners CPA LimitedCertified Public Accountants10/F, 8 Observatory RoadTsim Sha TsuiHong Kong31 July 2020Lock Kwong Hang, SimonPractising Certificate Number: P06735",True
BDO Limited,26 - 28,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101452.pdf,"28Independent Auditor™s Report (continued)  AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS ˜CONTINUED˚As part of an audit in accordance with HKSAs, we exercise professional judgement and maintain professional skepticism throughout the audit. We also:identify and assess the risks of material misstatement of the consolidated financial statements, whether due to fraud or error, design and perform audit procedures responsive to those risks, and obtain audit evidence that is sufficient and appropriate to provide a basis for our opinion. The risk of not detecting a material misstatement resulting from fraud is higher than for one resulting from error, as fraud may involve collusion, forgery, intentional omissions, misrepresentations, or the override of internal control. obtain an understanding of internal control relevant to the audit in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the Group™s internal control.evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the directors.conclude on the appropriateness of the directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the directors, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.BDO LimitedCertified Public AccountantsNg Wai ManPractising Certificate number P05309Hong Kong, 31 July 2020",True
Elite Partners CPA Limited,35 - 39,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101356.pdf,"38INDEPENDENT AUDITOR™S REPORT AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement director on the audit resulting in this independent auditor™s report is Mr. Siu Edmund, with Practising Certificate number P05333.Elite Partners CPA LimitedCertified Public Accountants10/F, 8 Observatory Road,Tsim Sha Tsui,Kowloon,Hong Kong 31 July 2020",True
Ernst & Young,126 - 132,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100966.pdf,"131Annual Report 2019/20 INDEPENDENT AUDITOR’S REPORT (Continued)Auditor’s responsibilities for the audit of the consolidated financial statements (Continued)From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is TJEN, Michael.Ernst & YoungCertified Public Accountants22/F, CITIC Tower1 Tim Mei AvenueCentralHong Kong31 July 20201222020731",True
Grant Thornton Hong Kong Limited,45 - 49,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100624.pdf,"49AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters.We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Grant Thornton Hong Kong LimitedCertified Public AccountantsLevel 1228 Hennessy RoadWanchaiHong Kong24 June 2020Shaw Chi KitPractising Certificate No.: P04834",True
KPMG,32 - 38,https://www1.hkexnewsx.hk/listedco/listconews/sehk/2020/0731/2020073100530.pdf,"38Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Cheng Mei Yan Hilary.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong29 June 2020Ł   ",True
Asian Alliance (HK) CPA Limited,39 - 43,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100409.pdf,"43ŁObtain an understanding of internal control relevant to the audit in order to design audit procedures that are appropriate in thecircumstances, but not for the purpose of expressing an opinion on the effectiveness of the Group™s internal control.ŁEvaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosuresmade by the directors of the Company.ŁConclude on the appropriateness of the directors™ use of the going concern basis of accounting and, based on the audit evidenceobtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™sability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in ourauditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modifyour opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, futureevents or conditions may cause the Group to cease to continue as a going concern.ŁEvaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, andwhether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fairpresentation.ŁObtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within theGroup to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision andperformance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Asian Alliance (HK) CPA LimitedCertified Public Accountants (Practising)Chung Chi ChiuPractising Certificate Number: P066108/F., Catic Plaza8 Causeway RoadCauseway BayHong Kong26 June 2020",True
