file_info,news_id,short_text,total_count,dod_web_path,stock_name,title,file_type,date_time,long_text,stock_code,file_link,auditor
172KB,9406151,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,DC HOLDINGS,Supplemental Information related to Annual Report for the year ended 31 December 2019,PDF,20/08/2020 16:44,Financial Statements/ESG Information - [Annual Report],00861,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0820/2020082000439.pdf,None
1MB,9406100,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,KIDDIELAND,Annual Report 2020,PDF,20/08/2020 16:34,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",03830,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0820/2020082000388.pdf,"('PricewaterhouseCoopers',)"
5MB,9403051,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHI OCEAN IND,Annual Report 2019,PDF,18/08/2020 12:00,Financial Statements/ESG Information - [Annual Report],00651,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0818/2020081800152.pdf,"('Asian Alliance (HK) CPA Limited',)"
5MB,9398720,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,VESTATE GROUP,Annual Report 2019/2020,PDF,14/08/2020 17:10,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01386,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0814/2020081400864.pdf,"('CCTH CPA Limited',)"
3MB,9396819,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,MOISELLE INT'L,Annual Report 2020,PDF,13/08/2020 17:11,Financial Statements/ESG Information - [Annual Report],00130,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300777.pdf,"('Deloitte Touche Tohmatsu',)"
3MB,9396813,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,NEW CONCEPTS,Annual Report 2020,PDF,13/08/2020 17:10,Financial Statements/ESG Information - [Annual Report],02221,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300771.pdf,"('BDO Limited',)"
2MB,9396712,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,SINO PROSPER GP,ANNUAL REPORT 2020,PDF,13/08/2020 16:53,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00766,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300670.pdf,"('HLB Hodgson Impey Cheng Limited',)"
462KB,9395879,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CC SECURITIES,SUPPLEMENTAL ANNOUNCEMENT IN RELATION TO THE 2019 ANNUAL REPORT,PDF,12/08/2020 21:43,Financial Statements/ESG Information - [Annual Report],01375,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0812/2020081201408.pdf,None
1MB,9394409,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,SUN INT'L,Annual Report 2020,PDF,12/08/2020 06:14,Financial Statements/ESG Information - [Annual Report],08029,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0812/2020081200023.pdf,"('HLB Hodgson Impey Cheng Limited',)"
151KB,9390083,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,ELATE HOLDINGS,Supplementary Announcement in relation  to 2019 Annual Report,PDF,07/08/2020 16:32,Financial Statements/ESG Information - [Annual Report],00076,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700489.pdf,None
799KB,9389830,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,OCI INTL,SUPPLEMENTAL ANNOUNCEMENT REGARDING THE 2019 ANNUAL REPORT,PDF,07/08/2020 12:19,Financial Statements/ESG Information - [Annual Report],00329,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700264.pdf,None
138KB,9389170,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,GANFENGLITHIUM,SUPPLEMENTAL ANNOUNCEMENT IN RELATION TO THE ANNUAL REPORT FOR THE YEAR ENDED 31 DECEMBER 2019,PDF,06/08/2020 19:31,Financial Statements/ESG Information - [Annual Report],01772,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0806/2020080601440.pdf,None
2MB,9389124,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,CHINAOILGANGRAN,Annual Report 2019,PDF,06/08/2020 19:15,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",08132,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0806/2020080601394.pdf,"('HLM CPA Limited',)"
130KB,9386384,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,BOE VARITRONIX,SUPPLEMENTAL ANNOUNCEMENT TO THE 2019 ANNUAL REPORT,PDF,05/08/2020 16:39,Financial Statements/ESG Information - [Annual Report],00710,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0805/2020080500801.pdf,None
4MB,9383163,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,PALACE BANQUET,Annual Report 2020,PDF,03/08/2020 21:47,Financial Statements/ESG Information - [Annual Report],01703,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0803/2020080303826.pdf,"('SHINEWING (HK) CPA Limited',)"
3MB,9378907,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,SYNERGY GROUP,2019/2020 Annual Report,PDF,02/08/2020 18:14,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01539,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0802/2020080200033.pdf,"('BDO Limited',)"
3MB,9378846,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,RICHLY FIELD,ANNUAL REPORT 2020,PDF,31/07/2020 22:58,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",00313,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073101878.pdf,"('SHINEWING (HK) CPA Limited',)"
2MB,9378748,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,ZJ UNITED INV,Annual Report 2020,PDF,31/07/2020 22:24,Financial Statements/ESG Information - [Annual Report],08366,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101736.pdf,"('Elite Partners CPA Limited',)"
2MB,9378592,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,STEEDORIENTAL,Annual Report 2020,PDF,31/07/2020 21:12,Financial Statements/ESG Information - [Annual Report],08277,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101452.pdf,"('BDO Limited',)"
947KB,9378496,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,TAI KAM-NEW,ANNUAL REPORT 2020,PDF,31/07/2020 20:26,Financial Statements/ESG Information - [Annual Report],08321,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0731/2020073101356.pdf,"('Elite Partners CPA Limited',)"
10MB,9378106,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,CHINASOUTHCITY,2019/20 Annual Report,PDF,31/07/2020 18:19,Financial Statements/ESG Information - [Annual Report],01668,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100966.pdf,"('Ernst & Young',)"
5MB,9377845,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,FL2 GX HSCEI<br/>FL2 GX HSI<br/>XI GX S&P500<br/>FI GX HSI<br/>FI GX HSCEI,Annual Report,PDF,31/07/2020 17:20,Financial Statements/ESG Information - [Annual Report],07230<br/>07231<br/>07322<br/>07336<br/>07362,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100705.pdf,None
4MB,9377829,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,F GX OIL,Annual Report,PDF,31/07/2020 17:15,Financial Statements/ESG Information - [Annual Report],03097,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100689.pdf,None
6MB,9377774,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,GX CN BIOTECH<br/>GX CN CLOUD<br/>GX MSCI CHINA<br/>GX HS HIGH DIV<br/>GX CSI300<br/>GX CN BIOTECH-U<br/>GX CN CLOUD-U<br/>GX CSI300-R,Annual Report,PDF,31/07/2020 17:06,Financial Statements/ESG Information - [Annual Report],02820<br/>02826<br/>03040<br/>03110<br/>03127<br/>09820<br/>09826<br/>83127,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100634.pdf,None
2MB,9377768,Financial Statements/ESG Information - [Annual Report]<br/>,2500,,YGM TRADING,Annual Report 2019/20,PDF,31/07/2020 17:04,Financial Statements/ESG Information - [Annual Report],00375,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100628.pdf,"('KPMG',)"
1MB,9377764,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]<br/>",2500,,YIELD GO HLDGS,ANNUAL REPORT 2020,PDF,31/07/2020 17:02,"Financial Statements/ESG Information - [Annual Report / Environmental, Social and Governance Information/Report]",01796,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0731/2020073100624.pdf,"('Grant Thornton Hong Kong Limited',)"
