result,url
"[(18,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0901/2020090100145.pdf
[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0831/2020083102419.pdf
"[(59,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0831/2020083100934.pdf
"[(19,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0831/2020083100609.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0831/2020083100541.pdf
"[(33,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0831/2020083100445.pdf
"[(32,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0830/2020083000105.pdf
"[(41,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0830/2020083000035.pdf
"[(20,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0828/2020082802897.pdf
"[(75,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0828/2020082802025.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0828/2020082800890.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0827/2020082700690.pdf
"[(28,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0827/2020082700498.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0827/2020082700366.pdf
"[(52,)]",https://www1.hkexnews.hk/listedco/listconews/gem/2020/0826/2020082601133.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0826/2020082600409.pdf
"[(35,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0826/2020082600378.pdf
"[(36,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0826/2020082600330.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082401320.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082401066.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0824/2020082400745.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0823/2020082300059.pdf
"[(73,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0823/2020082300051.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0820/2020082000439.pdf
"[(29,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0820/2020082000388.pdf
"[(37,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0818/2020081800152.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0814/2020081400864.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300777.pdf
"[(90,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300771.pdf
"[(27,)]",https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0813/2020081300670.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0812/2020081201408.pdf
[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0812/2020081200023.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700489.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0807/2020080700264.pdf
[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0806/2020080601440.pdf
